event_id,decision_time_utc,direction,label_true_sweep_liquidity,label_true_displacement,label_true_mss_bos_close,label_valid_breaker,label_fvg_fresh_unfilled,label_micro_confirm_present,label_core_setup_accept,objective_core_ex_breaker,entry_readiness,primary_reject_reason,reviewer_id,reviewer_type,outcome_seen
XAUUSD_1716288900_1,2024-05-21T10:55:00Z,long,no,no,yes,no,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1716373500_1,2024-05-22T10:25:00Z,long,yes,no,no,ambiguous,yes,no,no,no,reject,DISPLACEMENT_WEAK,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1716384600_1,2024-05-22T13:30:00Z,long,yes,no,yes,ambiguous,yes,no,no,no,reject,DISPLACEMENT_WEAK,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1717065600_-1,2024-05-30T10:40:00Z,short,yes,no,yes,ambiguous,yes,no,no,no,reject,DISPLACEMENT_WEAK,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1717150200_-1,2024-05-31T10:10:00Z,short,no,no,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1718030100_-1,2024-06-10T14:35:00Z,short,yes,yes,no,ambiguous,yes,no,no,no,reject,NO_MSS_CLOSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1718184900_-1,2024-06-12T09:35:00Z,short,no,no,yes,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1718189100_-1,2024-06-12T10:45:00Z,short,no,no,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1718719200_-1,2024-06-18T14:00:00Z,short,no,no,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1718959200_1,2024-06-21T08:40:00Z,long,no,no,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1719927900_1,2024-07-02T13:45:00Z,long,yes,no,yes,ambiguous,yes,no,no,no,reject,DISPLACEMENT_WEAK,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1720011600_1,2024-07-03T13:00:00Z,long,yes,no,no,no,yes,no,no,no,reject,DISPLACEMENT_WEAK,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1720019400_1,2024-07-03T15:10:00Z,long,ambiguous,no,ambiguous,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1720169100_1,2024-07-05T08:45:00Z,long,yes,no,yes,ambiguous,yes,no,no,no,reject,DISPLACEMENT_WEAK,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1720426800_1,2024-07-08T08:20:00Z,long,no,yes,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1720596600_1,2024-07-10T07:30:00Z,long,yes,yes,no,ambiguous,yes,no,no,no,reject,NO_MSS_CLOSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1720615200_1,2024-07-10T12:40:00Z,long,ambiguous,no,ambiguous,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1720618200_1,2024-07-10T13:30:00Z,long,ambiguous,yes,ambiguous,ambiguous,yes,no,ambiguous,no,ambiguous,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1720689300_1,2024-07-11T09:15:00Z,long,no,no,yes,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1720786800_1,2024-07-12T12:20:00Z,long,no,no,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1720792500_1,2024-07-12T13:55:00Z,long,no,yes,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1720793700_1,2024-07-12T14:15:00Z,long,no,yes,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1721053500_1,2024-07-15T14:25:00Z,long,ambiguous,no,ambiguous,no,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1721133000_1,2024-07-16T12:30:00Z,long,no,yes,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1721983200_-1,2024-07-26T08:40:00Z,short,yes,no,yes,ambiguous,yes,no,no,no,reject,DISPLACEMENT_WEAK,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1722524700_1,2024-08-01T15:05:00Z,long,ambiguous,no,ambiguous,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1722606000_1,2024-08-02T13:40:00Z,long,no,yes,yes,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1723037700_-1,2024-08-07T13:35:00Z,short,no,no,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1723124400_-1,2024-08-08T13:40:00Z,short,yes,no,yes,ambiguous,yes,no,no,no,reject,DISPLACEMENT_WEAK,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1723810200_1,2024-08-16T12:10:00Z,long,ambiguous,yes,ambiguous,ambiguous,yes,no,ambiguous,no,ambiguous,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1723812900_1,2024-08-16T12:55:00Z,long,ambiguous,no,ambiguous,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1724079600_1,2024-08-19T15:00:00Z,long,yes,no,ambiguous,ambiguous,yes,no,no,no,reject,DISPLACEMENT_WEAK,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1724225400_1,2024-08-21T07:30:00Z,long,no,yes,yes,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1724248800_1,2024-08-21T14:00:00Z,long,ambiguous,no,ambiguous,no,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1724322300_1,2024-08-22T10:25:00Z,long,no,yes,yes,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1724425200_1,2024-08-23T15:00:00Z,long,ambiguous,no,ambiguous,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1724753700_1,2024-08-27T10:15:00Z,long,yes,no,no,ambiguous,yes,no,no,no,reject,DISPLACEMENT_WEAK,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1724764200_1,2024-08-27T13:10:00Z,long,ambiguous,yes,ambiguous,ambiguous,yes,no,ambiguous,no,ambiguous,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1724767200_1,2024-08-27T14:00:00Z,long,no,no,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1724928000_1,2024-08-29T10:40:00Z,long,no,no,yes,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1725023700_1,2024-08-30T13:15:00Z,long,no,no,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1725623700_1,2024-09-06T11:55:00Z,long,yes,no,no,ambiguous,yes,no,no,no,reject,DISPLACEMENT_WEAK,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1726137600_1,2024-09-12T10:40:00Z,long,no,no,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1726150500_1,2024-09-12T14:15:00Z,long,no,yes,yes,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1726217400_1,2024-09-13T08:50:00Z,long,no,no,yes,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1726223400_1,2024-09-13T10:30:00Z,long,ambiguous,no,ambiguous,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1726232100_1,2024-09-13T12:55:00Z,long,no,yes,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1726478700_1,2024-09-16T09:25:00Z,long,no,no,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1726498500_1,2024-09-16T14:55:00Z,long,yes,no,yes,ambiguous,yes,no,no,no,reject,DISPLACEMENT_WEAK,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1727095200_1,2024-09-23T12:40:00Z,long,yes,yes,yes,ambiguous,yes,no,ambiguous,yes,ambiguous,BREAKER_INVALID_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1727433900_1,2024-09-27T10:45:00Z,long,no,no,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1728303000_1,2024-10-07T12:10:00Z,long,no,no,yes,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1728551400_-1,2024-10-10T09:10:00Z,short,no,no,no,no,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1729596000_1,2024-10-22T11:20:00Z,long,no,no,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1729773600_1,2024-10-24T12:40:00Z,long,no,no,yes,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1729869000_1,2024-10-25T15:10:00Z,long,ambiguous,yes,ambiguous,ambiguous,yes,no,ambiguous,no,ambiguous,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1730128500_1,2024-10-28T15:15:00Z,long,yes,yes,yes,ambiguous,yes,no,ambiguous,yes,ambiguous,BREAKER_INVALID_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1730205600_1,2024-10-29T12:40:00Z,long,yes,no,no,ambiguous,yes,no,no,no,reject,DISPLACEMENT_WEAK,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1730211300_1,2024-10-29T14:15:00Z,long,yes,no,yes,ambiguous,yes,no,no,no,reject,DISPLACEMENT_WEAK,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1731055800_-1,2024-11-08T08:50:00Z,short,no,no,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1731672000_-1,2024-11-15T12:00:00Z,short,no,no,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1732194900_1,2024-11-21T13:15:00Z,long,no,no,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1732268400_1,2024-11-22T09:40:00Z,long,no,yes,yes,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1732790400_1,2024-11-28T10:40:00Z,long,yes,no,yes,ambiguous,yes,no,no,no,reject,DISPLACEMENT_WEAK,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1732887000_1,2024-11-29T13:30:00Z,long,yes,no,no,ambiguous,yes,no,no,no,reject,DISPLACEMENT_WEAK,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1733391900_1,2024-12-05T09:45:00Z,long,yes,yes,no,ambiguous,yes,no,no,no,reject,NO_MSS_CLOSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1733494500_-1,2024-12-06T14:15:00Z,short,yes,no,yes,ambiguous,yes,no,no,no,reject,DISPLACEMENT_WEAK,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1733918400_1,2024-12-11T12:00:00Z,long,ambiguous,no,ambiguous,no,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1733924400_1,2024-12-11T13:40:00Z,long,ambiguous,yes,ambiguous,ambiguous,yes,no,ambiguous,no,ambiguous,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1734002700_1,2024-12-12T11:25:00Z,long,no,no,no,no,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
