date,time_utc,event_type,currency,importance
2022-04-28,03:00,BOJ,JPY,3
2022-05-04,18:00,FOMC,USD,3
2022-05-06,12:30,NFP,USD,3
2022-05-11,12:30,CPI,USD,3
2022-06-03,12:30,NFP,USD,3
2022-06-10,12:30,CPI,USD,3
2022-06-17,03:00,BOJ,JPY,3
2022-06-15,18:00,FOMC,USD,3
2022-07-08,12:30,NFP,USD,3
2022-07-13,12:30,CPI,USD,3
2022-07-21,03:00,BOJ,JPY,3
2022-07-27,18:00,FOMC,USD,3
2022-08-05,12:30,NFP,USD,3
2022-08-10,12:30,CPI,USD,3
2022-09-02,12:30,NFP,USD,3
2022-09-13,12:30,CPI,USD,3
2022-09-22,03:00,BOJ,JPY,3
2022-09-21,18:00,FOMC,USD,3
2022-10-07,12:30,NFP,USD,3
2022-10-13,12:30,CPI,USD,3
2022-10-28,03:00,BOJ,JPY,3
2022-11-02,18:00,FOMC,USD,3
2022-11-04,12:30,NFP,USD,3
2022-11-10,13:30,CPI,USD,3
2022-12-02,13:30,NFP,USD,3
2022-12-13,13:30,CPI,USD,3
2022-12-20,03:00,BOJ,JPY,3
2022-12-14,19:00,FOMC,USD,3
2023-01-06,13:30,NFP,USD,3
2023-01-12,13:30,CPI,USD,3
2023-01-18,03:00,BOJ,JPY,3
2023-02-03,13:30,NFP,USD,3
2023-02-14,13:30,CPI,USD,3
2023-02-01,19:00,FOMC,USD,3
2023-03-10,03:00,BOJ,JPY,3
2023-03-10,13:30,NFP,USD,3
2023-03-14,12:30,CPI,USD,3
2023-03-22,18:00,FOMC,USD,3
2023-04-07,12:30,NFP,USD,3
2023-04-12,12:30,CPI,USD,3
2023-04-28,03:00,BOJ,JPY,3
2023-05-03,18:00,FOMC,USD,3
2023-05-05,12:30,NFP,USD,3
2023-05-10,12:30,CPI,USD,3
2023-06-02,12:30,NFP,USD,3
2023-06-13,12:30,CPI,USD,3
2023-06-16,03:00,BOJ,JPY,3
2023-06-14,18:00,FOMC,USD,3
2023-07-07,12:30,NFP,USD,3
2023-07-12,12:30,CPI,USD,3
2023-07-28,03:00,BOJ,JPY,3
2023-07-26,18:00,FOMC,USD,3
2023-08-04,12:30,NFP,USD,3
2023-08-10,12:30,CPI,USD,3
2023-09-01,12:30,NFP,USD,3
2023-09-13,12:30,CPI,USD,3
2023-09-22,03:00,BOJ,JPY,3
2023-09-20,18:00,FOMC,USD,3
2023-10-06,12:30,NFP,USD,3
2023-10-12,12:30,CPI,USD,3
2023-10-31,03:00,BOJ,JPY,3
2023-11-01,18:00,FOMC,USD,3
2023-11-03,12:30,NFP,USD,3
2023-11-14,13:30,CPI,USD,3
2023-12-08,13:30,NFP,USD,3
2023-12-12,13:30,CPI,USD,3
2023-12-19,03:00,BOJ,JPY,3
2023-12-13,19:00,FOMC,USD,3
2024-01-05,13:30,NFP,USD,3
2024-01-11,13:30,CPI,USD,3
2024-01-23,03:00,BOJ,JPY,3
2024-01-31,19:00,FOMC,USD,3
2024-02-02,13:30,NFP,USD,3
2024-02-13,13:30,CPI,USD,3
2024-03-08,13:30,NFP,USD,3
2024-03-12,12:30,CPI,USD,3
2024-03-19,03:00,BOJ,JPY,3
2024-03-20,18:00,FOMC,USD,3
2024-04-05,12:30,NFP,USD,3
2024-04-10,12:30,CPI,USD,3
2024-04-26,03:00,BOJ,JPY,3
2024-05-01,18:00,FOMC,USD,3
2024-05-03,12:30,NFP,USD,3
2024-05-15,12:30,CPI,USD,3
2024-06-07,12:30,NFP,USD,3
2024-06-12,12:30,CPI,USD,3
2024-06-14,03:00,BOJ,JPY,3
2024-06-12,18:00,FOMC,USD,3
2024-07-05,12:30,NFP,USD,3
2024-07-11,12:30,CPI,USD,3
2024-07-31,03:00,BOJ,JPY,3
2024-07-31,18:00,FOMC,USD,3
2024-08-02,12:30,NFP,USD,3
2024-08-14,12:30,CPI,USD,3
2024-09-06,12:30,NFP,USD,3
2024-09-11,12:30,CPI,USD,3
2024-09-20,03:00,BOJ,JPY,3
2024-09-18,18:00,FOMC,USD,3
2024-10-04,12:30,NFP,USD,3
2024-10-10,12:30,CPI,USD,3
2024-10-31,03:00,BOJ,JPY,3
2024-11-07,19:00,FOMC,USD,3
2024-11-01,12:30,NFP,USD,3
2024-11-13,13:30,CPI,USD,3
2024-12-06,13:30,NFP,USD,3
2024-12-11,13:30,CPI,USD,3
2024-12-19,03:00,BOJ,JPY,3
2024-12-18,19:00,FOMC,USD,3
2025-01-10,13:30,NFP,USD,3
2025-01-15,13:30,CPI,USD,3
2025-01-24,03:00,BOJ,JPY,3
2025-01-29,19:00,FOMC,USD,3
2025-02-07,13:30,NFP,USD,3
2025-02-12,13:30,CPI,USD,3
2025-03-07,13:30,NFP,USD,3
2025-03-12,12:30,CPI,USD,3
2025-03-19,03:00,BOJ,JPY,3
2025-03-19,18:00,FOMC,USD,3
2025-04-04,12:30,NFP,USD,3
2025-04-10,12:30,CPI,USD,3
2025-05-01,03:00,BOJ,JPY,3
2025-05-07,18:00,FOMC,USD,3
2025-05-02,12:30,NFP,USD,3
2025-05-13,12:30,CPI,USD,3
2025-06-06,12:30,NFP,USD,3
2025-06-11,12:30,CPI,USD,3
2025-06-17,03:00,BOJ,JPY,3
2025-06-18,18:00,FOMC,USD,3
2025-07-03,12:30,NFP,USD,3
2025-07-15,12:30,CPI,USD,3
2025-07-31,03:00,BOJ,JPY,3
2025-07-30,18:00,FOMC,USD,3
2025-08-01,12:30,NFP,USD,3
2025-08-12,12:30,CPI,USD,3
2025-09-05,12:30,NFP,USD,3
2025-09-11,12:30,CPI,USD,3
2025-09-19,03:00,BOJ,JPY,3
2025-09-17,18:00,FOMC,USD,3
2025-10-03,12:30,NFP,USD,3
2025-10-15,12:30,CPI,USD,3
2025-10-30,03:00,BOJ,JPY,3
2025-10-29,18:00,FOMC,USD,3
2025-11-07,13:30,NFP,USD,3
2025-11-13,13:30,CPI,USD,3
2025-12-05,13:30,NFP,USD,3
2025-12-10,13:30,CPI,USD,3
2025-12-19,03:00,BOJ,JPY,3
2025-12-10,19:00,FOMC,USD,3
